energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.824,0.405,100.024,0.0712,0.284,0.0,4,0.778,10,218093,-5.892,0.756,0,audio_features,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V
0.936,0.36,130.998,0.0744,0.000959,1.45e-05,4,0.661,10,249067,-3.832,0.558,0,audio_features,spotify:track:4yQmDtjax2Ye9wY8EPAO1x
0.608,0.121,169.936,0.0733,0.221,0.0,4,0.498,7,201520,-5.435,0.123,0,audio_features,spotify:track:7qrMWXNwE1aD1o1sBnyIAh
0.802,0.177,124.989,0.0394,0.139,0.0,4,0.715,11,197993,-4.647,0.327,0,audio_features,spotify:track:7EmGUiUaOSGDnUUQUDrOXC
0.602,0.116,119.95,0.0522,0.033,0.000146,4,0.614,6,250511,-8.759,0.15,0,audio_features,spotify:track:7iz4bsfPOrK9wzhXkgUfya
0.833,0.171,212.117,0.39,0.0524,0.0,4,0.615,9,181733,-3.377,0.538,1,audio_features,spotify:track:6MNGxu8MprKGkchUchkJsy
0.847,0.0951,123.952,0.0549,0.0189,0.105,4,0.736,10,220280,-4.637,0.738,0,audio_features,spotify:track:5mMGlT6afZ4yQv36paf0tz
0.587,0.0523,129.954,0.0339,0.0192,0.0,4,0.717,4,216520,-7.296,0.544,0,audio_features,spotify:track:2hdy9Wt9qp7M7d0U3ossu2
0.809,0.365,176.029,0.0768,0.0276,0.0,4,0.563,5,244014,-5.09,0.275,0,audio_features,spotify:track:7I4zJamsReVjDMmx8GkH5r
0.817,0.187,98.064,0.109,0.075,0.0,4,0.696,1,216409,-3.862,0.782,1,audio_features,spotify:track:6kex4EBAj0WHXDKZMEJaaF
0.797,0.131,102.998,0.182,0.0216,1.04e-05,4,0.654,1,193893,-5.278,0.61,0,audio_features,spotify:track:7fYbFYt7X4FZvuJJC90EX0
0.61,0.102,94.384,0.0439,0.323,0.0,3,0.685,0,186467,-5.221,0.323,0,audio_features,spotify:track:60RWYBk24Z6lHxMcWD0oh0
0.687,0.107,110.616,0.0646,0.197,0.00708,4,0.978,8,234057,-4.957,0.784,1,audio_features,spotify:track:2KjpWqvSKoQh0XIAywplWn
0.725,0.182,87.055,0.153,0.00422,0.0,4,0.613,4,218070,-7.298,0.513,1,audio_features,spotify:track:2Gj5CXGxbSTqNRnLVPx6R3
0.775,0.082,134.932,0.0809,0.00735,0.0,4,0.7,1,272920,-3.94,0.751,1,audio_features,spotify:track:7s0YfJE6hNNYq9BV26iCw6
0.631,0.277,123.042,0.0769,0.209,0.0,3,0.39,9,248544,-4.701,0.197,0,audio_features,spotify:track:25qfFpoGhk9Njgu5nl36sS
0.734,0.145,107.853,0.107,0.0162,1.9e-06,4,0.623,9,244453,-5.95,0.372,1,audio_features,spotify:track:2meEiZKWkiN28gITzFwQo5
0.658,0.237,145.031,0.0558,0.0233,6e-05,4,0.602,1,197547,-5.934,0.268,1,audio_features,spotify:track:5OCJzvD7sykQEKHH7qAC3C
0.569,0.108,110.994,0.0991,0.593,0.000164,4,0.574,11,155587,-9.289,0.0604,0,audio_features,spotify:track:4e5rVnBWDSwYLSXkMO6ljE
0.751,0.353,128.017,0.0462,0.0113,0.0,4,0.72,11,202640,-4.484,0.599,0,audio_features,spotify:track:1r299qCKBLgUS9XJ9m1kEx
0.172,0.34,68.564,0.0327,0.904,0.000218,4,0.264,11,220360,-11.618,0.0683,0,audio_features,spotify:track:0aYUqsvZG7bAslrUkd9Z0g
0.86,0.214,175.021,0.0535,0.00744,0.000109,4,0.367,11,214947,-4.82,0.461,0,audio_features,spotify:track:3UygY7qW2cvG9Llkay6i1i
0.87,0.312,97.013,0.0903,0.00679,3.15e-06,4,0.486,2,185533,-4.947,0.336,1,audio_features,spotify:track:7hlXiMxN81uctLsvbtHZ8x
0.303,0.0824,170.22,0.11,0.798,4.16e-06,3,0.397,1,197893,-10.413,0.17,1,audio_features,spotify:track:0STK94RxUulYqWzwFlyAb5
0.554,0.0418,126.986,0.0341,0.0116,0.0,4,0.758,7,231840,-4.567,0.783,1,audio_features,spotify:track:2fQxE0jVrjNMT9oJAXtSJR
0.787,0.0809,79.979,0.0517,0.0101,0.00021,4,0.546,7,231987,-4.1,0.573,0,audio_features,spotify:track:6LoQHIo74tOzQ8EsLEkhgF
0.368,0.118,92.959,0.0341,0.739,4.1e-05,4,0.479,6,216480,-7.784,0.142,1,audio_features,spotify:track:5sra5UY6sD658OabHL3QtI
0.778,0.0883,129.028,0.29,0.00684,1.79e-06,4,0.798,11,234293,-8.633,0.403,0,audio_features,spotify:track:4YCCwOhHTQcrmWi5ofmUxN
0.97,0.154,114.328,0.0506,0.0569,6.13e-05,4,0.808,10,242293,-6.098,0.868,0,audio_features,spotify:track:2gam98EZKrF9XuOkU13ApN
0.652,0.307,100.315,0.232,0.0348,0.0,4,0.76,6,177685,-7.321,0.759,1,audio_features,spotify:track:5l3CML2OnzfNs5RfVgbcLt
